0.02,-0.11,1.32,0.1,0.1,0.135,0.135,1.068,0.701,-119,0.5,0.5,1.73,0.539,-2.29,0.14,0,0,0.3,1.25,-0.45,0.74,0.29,0.31,-0.29,2.595,1014.61,0.63,-1.12,-0.44,-1.22,29,704,0.82,-0.04,0.325,63,0.01,0.57,0.58
0.11,-0.17,2.12,0.103,0.103,0.307,0.307,-1.256,1.294,13,0.81,0.81,-1.66,1.331,-0.07,0.14,0,106,0.33,-1.6,-1.96,1.47,0.22,0.13,-0.14,-0.952,1010.4,0.66,0.05,0.78,1.3,-33,810,0.55,0.18,0.55,64,-0.29,1.58,-1.86
0.1,-0.03,2.34,0.105,0.105,0.336,0.336,-0.562,1.105,-96,1.78,1.77,0.09,0.621,-0.63,0.03,0,12,0.32,-0.75,-0.56,1.01,0.35,0.12,0.01,-0.631,1013.4,0.75,0.43,1.14,2.69,278,725,0.54,0.11,0.428,65,-0.14,0.09,-0.51
0.06,-0.03,1.45,0.107,0.107,0.269,0.269,0.023,0.99,-31,0.62,0.61,-0.71,0.655,3.88,0.01,0,1408,0.41,-2.96,1.41,0.31,0.39,0.26,0.18,1.682,1017.13,0.77,0.29,-1.6,1.86,289,730,0.36,0.13,0.532,66,-0.1,0.48,-0.57
0.01,-0.03,1.45,0.108,0.108,0.337,0.337,0.333,0.519,-95,0.36,0.36,-0.71,0.701,0.99,-0.07,0,2822,0.37,0.13,0.43,0,0.14,-0.07,-0.05,0.185,1018.2,0.75,0.74,0.27,0.1,451,698,2.81,0.18,0.409,67,-0.07,0.25,-1.1
0.01,-0.08,1.52,0.109,0.109,0.252,0.252,0.085,0.049,-31,0.9,0.9,-1.41,0.422,-0.54,0.1,2.75,3087,0.37,3.26,-1.04,0.17,0.09,-0.06,-0.22,0.197,1016.7,0.73,0.05,-1.15,-1.21,188,755,1.64,0.24,0.196,68,-0.06,1.56,1.04
0,-0.1,1.52,0.111,0.111,0.274,0.274,0.662,0.452,-20,1.19,1.19,0.58,0.882,0.12,0.09,13.75,1290,0.41,0.75,-0.19,0.33,0.29,0.28,-0.46,-0.722,1015.67,0.78,-0.63,-0.14,-1.28,214,743,0.07,0.2,0.12,69,0.04,1.3,-0.86
0.01,-0.09,0.35,0.113,0.113,0.142,0.142,-0.194,0.243,-33,0.16,0.16,0,0.162,-0.52,0.07,2.5,402,0.13,0.77,1.95,-0.18,0.16,0.12,-0.1,1.669,1010.53,0.84,-1.09,2.27,-0.39,88,719,0.72,0.16,0.128,70,0.03,0.47,0.36
0.05,-0.06,0.69,0.114,0.114,0.238,0.238,0.354,0.697,-63,0.37,0.36,0.16,0.349,-2.15,0.04,0,0,-0.12,3.25,0.96,-0.14,0.18,0.04,-0.11,-0.853,1005.94,0.84,-0.03,1.57,-0.59,21,714,0.75,0.16,-0.426,71,-0.18,1.21,-0.44
0.09,-0.05,0.82,0.115,0.115,0.252,0.252,0.575,0.44,-75,0.41,0.41,0.73,-0.111,,0.18,0,1,-0.01,0.15,-0.52,-0.59,0.41,0.2,0.03,6.026,1008.12,0.81,0.07,0.96,-2.18,27,708,0.46,0.17,-0.537,72,-0.41,-0.1,0.84
